option,score,question_id
2,1,1
3,0,1
4,0,1
5,0,1
Lorem,1,2
Ipsum,2,2
Dolor,3,2
Sit,4,2
"<p><img alt=""MathML (base64):PG1hdGg+CiAgICA8bWZyYWMgbWF0aHNpemU9IjEyIj4KICAgICAgICA8bWk+MzwvbWk+CiAgICAgICAgPG1yb3c+CiAgICAgICAgICAgIDxtcm93PgogICAgICAgICAgICAgICAgPG1uPjI8L21uPgogICAgICAgICAgICA8L21yb3c+CiAgICAgICAgPC9tcm93PgogICAgPC9tZnJhYz4KPC9tYXRoPg=="" src=""data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAA0AAAAZCAYAAADqrKTxAAAAAXNSR0IArs4c6QAAAPJJREFUOE+t0zFKg0EQBeAvpWm9gNhYCrax9gA2FkYQLKw9QBD0AF5BEAtLG0ECdh7A0i4XsLaVwfyyrPObTeK2O2/ezHtvBlZ4gx7MDh6wi328lnUZaAMnuMMhtnHdAhriAxd4wvsiUPxPcJWNFp/ZeKOia4wZbJ8tTFETYpzhchGo3OEYs1q5erxQ7Qbn81HGuM8s6fPpT8vXAp02pum23GklUCPRd9laO3VMpexvOKpzlzHV5v5KeGZul+6lYlQKEsHdylLRJ0TsdoDHZWKUHl/XIGOKA3yZp3sTe5j23VOd8qh7RpxInP7P+xdzm+L0BfacKBoBFYgaAAAAAElFTkSuQmCC"" /></p>",1,3
<p>1</p>,0,3
<p>2</p>,0,3
<p>3</p>,0,3
